,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,rGB3rqqoNRg,Travel & Events,19,Karadenizli Maceracı,Doğada Teneke Tavuk - Cooking Tin Chicken in Nature,2022-05-13T15:15:04Z,"#teneketavuk #cooking #chicken
bu videomda teneke tavuk yaptık ilk 30 dakika açık ateş ile pişti son 15 dakika ateşin közleri ile pişirdik toplamda 45 dakikalık bir sürede pişti afiyet olsun.

In this video, we made tin chicken, it was cooked with open fire for the first 30 minutes, we cooked it with the embers of the fire for the last 15 minutes, it was cooked in a total of 45 minutes. Bon appetit.


📌KANALA ABONE OL  ÜCRETSİZ  ➤➤ https://bit.ly/2YLToO1

📌İNSTAGRAM TAKİP ET  ➤➤ https://www.instagram.com/karadenizli...

📌Videoların devamı İçin videoları beğenerek kanala abone olursanız sevinirim herkese iyi seyirler.
📌Yeni yüklenen videolardan haberdar olmak için kanaldaki ZİL Butonuna tıklamanız yeterli.

Instagram : ➤ https://www.instagram.com/karadenizli...",110172613,4161519,4060,PT1M
1,XSrolys3uqo,Travel & Events,19,Sacramento History Museum,Howard letterpress prints the news for our latest YouTube milestone.,2023-05-27T01:38:51Z,"We just reached a social media milestone that we never thought was achievable. The Sacramento History Museum now has over one million subscribers on YouTube! We would have never thought a museum could reach such a following, but we are incredibly thankful for all of those who take the time to watch our videos. 

In this video, Howard letterpress printed the impressive news using our Washington hand press, which was manufactured in 1852! 

#youtubesubscribers #onemillion #millionsubscribers #typography #powerofthepress #SacHistoryMuseum #sacramento #museum #history #letterpress #printingpress #asmr #printing #youtubeshorts #youtube #shorts #short #shortvideo #oldsacramento
​⁠@YouTube  ​⁠@youtubecreators",78084996,3776204,9290,PT57S
2,x2zdeAiIMuU,Travel & Events,19,LegolandMalaysia,LEGOLAND® Malaysia Resort - WHERE IMAGINATIONS BUILD AND BUILD,2023-05-19T07:43:56Z,"For a family day out full of possibilities, visit the LEGOLAND® Malaysia Resort and experience the ultimate destination for imagination!
Whether you are earning your very first driving licence at the LEGO® City Driving School, riding a Dragon through a medieval castle or defeating skeletons and serpents in LEGO NINJAGO®, with over 805 rides, live shows and attractions - the LEGOLAND Malaysia Resort is the land where imaginations build and build",64330285,437,33,PT30S
3,FOc1k4_4ct0,Travel & Events,19,Booking.com,Melissa McCarthy gets beachy  | Booking.com,2023-02-06T13:59:51Z,"The best way to book your stay in the USA. So you can enjoy the sights, sounds, and seagulls on your next beach day.

- Visit our website: https://www.booking.com/ 
- Find us on Facebook: https://www.facebook.com/bookingcomUS/ 
- Follow us on Twitter: https://twitter.com/bookingcom
- Follow us on Instagram: https://www.instagram.com/bookingcom/",53628517,153,125,PT16S
4,-hnDASp_iC8,Travel & Events,19,Đỗ Tuyết Nhi,BÉ VUI HỌC VẦN ON AN - ĐỖ TUYẾT NHI - BÉ DÂU TÂY (Official Music Video),2018-09-06T07:46:15Z,"BÉ VUI HỌC VẦN ON AN - ĐỖ TUYẾT NHI - BÉ DÂU TÂY (Official Music Video)
Một sáng tác mới của ca sĩ - nhạc sĩ - giáo viên Đỗ Tuyết Nhi với bài hát BÉ VUI HỌC VẦN ON AN - ĐỖ TUYẾT NHI - BÉ DÂU TÂY
Lời Bài Hát:
----------------------------------------------------------------
Hôm nay em học vần
Cô dạy em bài mới
Ghép âm n sau o em có vần on
Ghép âm n sau a em có vần an
Mơ e mờ e me nặng mẹ
Cờ on cờ on con mẹ con mẹ con
Nhờ a nhờ a nha huyền nhà
Sờ an sờ an san huyền sàn, nhà sàn nhà sàn nhà sàn
Bé thích học vần on
Bé thích học vần an
Bé vui học vần on
Bé vui học vần an
----------------------------------
Hôm nay em học vần
Cô dạy em bài mới
Ghép âm n sau o em có vần on
Ghép âm n sau a em có vần an
Mơ e mờ e me nặng mẹ
Cờ on cờ on con mẹ con mẹ con
Nhờ a nhờ a nha huyền nhà
Sờ an sờ an san huyền sàn, nhà sàn nhà sàn nhà sàn
Bé thích học vần on
Bé thích học vần an
Bé vui học vần on
Bé vui học vần an
Bé thích học vần on (an)
Bé thích học vần an (on)
Bé vui học vần on (an)
Bé vui học vần an (an)
o nờ on
a nờ an
----------------------------------------------------------------
Chịu trách nhiệm sản xuất: Đỗ Tuyết Nhi
Sáng Tác: Đỗ Tuyết Nhi
Kịch Bản - Đạo diễn: Đỗ Tuyết Nhi
Thu Âm: Đinh Hoàng Quốc
Hòa Âm Phối Khí: Nguyễn Hoàng Diệu
Trình Bày: CS Đỗ Tuyết Nhi - Bé Dâu Tây
Quay Phim: Văn Thiệu Photography
Dựng Phim: Đỗ Tuyết Nhi - Văn Thiệu
Kĩ Xảo: Lê Kiên
Mỹ Thuật: Lâm Thảo
Thiết Kế: Văn Hiệp
Thời Trang: Paradise
Trang Điểm: Yến Trâm
Hậu Kỳ: Mai Linh
#DOTUYETNHI #DOTUYETNHIOFFICIAL #ONAN #VANTHIEUPHOTO #VANTHIEUPHOTOGRAPHY
Đăng ký kênh Đỗ Tuyết Nhi để xem video mới tại:  https://tinyurl.com/dotuyetnhi
Văn Thiệu Photography: https://vanthieuphoto.pixieset.com/",48829409,49368,0,PT2M52S
5,v_TiACkaN2k,Travel & Events,19,Court and Nate,Realistic Solo Van Life Night Routine #vanlife #nightroutine #solovanlife,2023-06-09T00:10:10Z,,39978726,2316473,9653,PT1M
6,ZgjWOo7IqQY,Travel & Events,19,Insider Food,Why Parmesan Cheese Is So Expensive | Regional Eats | Food Insider,2018-11-17T17:00:04Z,"A wheel of parmesan cheese can cost over $1,000. A single wheel takes at least one year to age, 131 gallons of milk to make, and it can only be made in a restricted area in northern Italy, in the region of Emilia Romagna. We visited a dairy in Parma, Italy to find out how the cheese is made and why it is so expensive.

------------------------------------------------------

#ParmesanCheese #Italy #FoodInsider

INSIDER is great journalism about what passionate people actually want to know. That’s everything from news to food, celebrity to science, politics to sports and all the rest. It’s smart. It’s fearless. It’s fun. We push the boundaries of digital storytelling. Our mission is to inform and inspire.

Subscribe to our channel: http://insder.co/Food and visit us at: https://insder.co/2NCg6Sg
FOOD INSIDER on Facebook: https://insder.co/2O4gt7A
FOOD INSIDER on Instagram: http://insder.co/2aywJtk
FOOD INSIDER on Twitter: https://insder.co/2IahHsi
INSIDER on Snapchat: https://insder.co/2KJLtVo

Why Parmesan Cheese Is So Expensive | Regional Eats | Food Insider",36201912,320484,25524,PT9M59S
7,qOw44VFNk8Y,Travel & Events,19,Air New Zealand,The Most Epic Safety Video Ever Made #AirNZSafetyVideo,2014-10-22T17:27:51Z,"As the official airline of Middle-earth, Air New Zealand has gone all out to celebrate the third and final film in The Hobbit Trilogy - The Hobbit: The Battle of the Five Armies. Starring Elijah Wood and Sir Peter Jackson; we're thrilled to unveil The Most Epic Safety Video Ever Made. #airnzhobbit
 
Special cameos by Sylvester McCoy, Dean O’Gorman and Weta Workshop co-founder Sir Richard Taylor. Directed by Taika Waititi.

Check out the Air New Zealand Facebook page to see behind the scenes pics from ‘The Most Epic Safety Video Ever Made’ and see firsthand Hollywood stars on the set of Middle-earth including Elijah Wood, Sylvester McCoy, Dean O’Gorman, John Rhys-Davies (as Gimli) and New Zealand’s own Sir Peter Jackson. 

Subscribe to Air New Zealand for more epic videos, and don’t forget to share this video with your friends. Enjoy!",22946840,231450,7414,PT4M38S
8,ZpyQ3dR9dgY,Travel & Events,19,Shangri-La Hotels and Resorts,‘Find Your Shangri-La’ Full Film,2023-05-15T06:11:55Z,"What's your Shangri-La? With our new brand film, directed by director Dave Meyers, we've created an ode to all those moments - no matter big or small - that inspire the purest of joys.  Feast with us, revel with the ones you love, or simply enjoy a quiet breakfast alone. Come with us through the whimsical world of Shangri-La, where your personal paradise awaits.",23130725,,,PT1M30S
9,sG31oiri4vA,Travel & Events,19,Traveloka Indonesia,"Traveloka STAYMAT, #StaycationJadi Hemat Setiap Hari!",2023-03-21T03:35:44Z,"Mau staycation setiap hari? Bisa, selama ada STAYMAT, kamu bebas pilih akomodasi yang kamu suka!

Mulai dari Hotel dalam & luar negeri, Vila, Resor, Apartemen, dan Budget Hotel

Pesan di Traveloka, jadi hemat setiap hari! #StaycationJadi Hemat

Staycation Your Way, Life Your Way

Jangan lupa subscribe dan nyalakan lonceng 🔔 untuk dapetin notifikasi konten seru lainnya. Follow kami untuk dapatkan berbagai inspirasi perjalananmu!

Tiktok: https://www.tiktok.com/@traveloka.id
Instagram: https://www.instagram.com/traveloka.id/
Facebook: https://www.facebook.com/traveloka.id/
Twitter: https://twitter.com/traveloka",22259728,167,7,PT30S
